시험 문제,정답(번호),답안1,답안2,답안3,답안4,점수,카테고리
자바에서 main 메서드는 어떤 접근 제어자를 갖고 있나요?,1,public,private,protected,default,10,자바
자바에서 String 클래스는 어떤 클래스를 상속하나요?,1,Object,CharSequence,Serializable,Comparable,10,자바
자바의 기본 데이터 타입 중 double의 크기는 몇 비트인가요?,3,16비트,32비트,64비트,128비트,10,자바
자바에서 == 연산자는 무엇을 비교하나요?,1,객체의 참조 비교,객체의 내용 비교,두 값의 크기 비교,두 객체가 동일한 타입인지 비교,10,자바
자바에서 ArrayList의 크기는 어떻게 조정되나요?,4,자동으로 크기가 줄어든다,크기를 수동으로 지정해야 한다,크기가 고정되어 있다,자동으로 크기가 증가한다,10,자바
자바에서 final 키워드의 용도가 아닌 것은 무엇인가요?,4,변수 값 변경을 막는다,메서드를 오버라이드할 수 없게 한다,클래스 상속을 막는다,메모리 해제를 빠르게 한다,10,자바
자바에서 예외 처리의 기본 구조는 무엇인가요?,3,if-else,switch-case,try-catch-finally,for-each,10,자바
자바에서 super() 메서드는 무엇을 호출하나요?,1,부모 클래스의 생성자,현재 클래스의 생성자,메서드 오버로딩을 호출,객체를 초기화하는 메서드를 호출,10,자바
자바에서 interface는 무엇을 정의할 수 있나요?,4,변수,구현된 메서드,생성자,추상 메서드와 상수,10,자바
자바에서 HashMap의 키는 무엇을 기준으로 저장되나요?,2,객체의 참조 비교,hashCode() 값,equals() 값,객체의 주소값,10,자바
