시험 문제,정답(번호),답안1,답안2,답안3,답안4,점수,카테고리
파이썬에서 리스트의 길이를 구하는 함수는 무엇인가?,1,len(),length(),size(),count(),10,파이썬
파이썬에서 변수 x가 10보다 크고 20보다 작은지 확인하는 조건문은?,3,if x > 10 and x < 20:,if x < 10 and x < 20:,if 10 < x < 20:,if x > 20 and x < 10:,10,파이썬
파이썬에서 튜플을 선언하는 방법은?,2,[],(),{},<>,10,파이썬
파이썬에서 문자열을 소문자로 바꾸는 메서드는?,1,lower(),up(),to_lower(),string.lower(),10,파이썬
파이썬에서 클래스의 생성자는 무엇이라고 불리는가?,2,init(),__init__(),constructor(),new(),10,파이썬
파이썬에서 리스트에서 특정 값을 제거하는 함수는?,1,remove(),push(),sort(),clear(),10,파이썬
파이썬에서 주석을 달 때 사용하는 기호는 무엇인가?,1,#,//,/* */,<!-- -->,10,파이썬
파이썬에서 조건문이 참일 때 실행되는 코드는 어떻게 나타내는가?,4,else,elif,try,if,10,파이썬
파이썬에서 두 리스트를 합치려면 어떤 연산자를 사용하는가?,2,sort(),extend(),append(),insert(),10,파이썬
파이썬에서 문자열의 길이를 구하는 함수는?,1,len(),length(),size(),count(),10,파이썬
